Framework,Cooccurrence,Frequency
Adaptation,Differentiated Responsibilities,3
Adaptation,Respective Capabilities,16
Adaptation,Theme,2
Adaptation,Access,2
Adaptation,Governance,2
Adaptation,Mitigation,2
Adaptation,Participation,2
Adaptation,Transparency,2
Governance,Environmental Justice,7
Governance,Distributive Justice,2
Governance,Procedural Justice,7
Governance,Recognitional Justice,7
Governance,Function,7
Governance,Actions What,4
Governance,Manner How,3
Governance,Legal Principles,30
Governance,CBDR-RC,28
Governance,Common Responsibilities,9
Governance,Differentiated Responsibilities,6
Governance,Respective Capabilities,23
Governance,NMFT,1
Governance,Principle Of Non Discrimination,1
Governance,Theme,7
Governance,Access,2
Governance,Adaptation,2
Governance,Mitigation,4
Governance,Participation,2
Governance,Transparency,3
Mitigation,Environmental Justice,4
Mitigation,Distributive Justice,2
Mitigation,Procedural Justice,4
Mitigation,Recognitional Justice,4
Mitigation,Function,4
Mitigation,Actions What,4
Mitigation,Legal Principles,26
Mitigation,CBDR-RC,26
Mitigation,Common Responsibilities,8
Mitigation,Differentiated Responsibilities,5
Mitigation,Respective Capabilities,21
Mitigation,Theme,4
Mitigation,Access,2
Mitigation,Adaptation,2
Mitigation,Governance,4
Mitigation,Participation,2
Mitigation,Transparency,3
Participation,Environmental Justice,2
Participation,Distributive Justice,2
Participation,Procedural Justice,2
Participation,Recognitional Justice,2
Participation,Function,2
Participation,Actions What,2
Participation,Legal Principles,19
Participation,CBDR-RC,19
Participation,Common Responsibilities,4
Participation,Differentiated Responsibilities,3
Participation,Respective Capabilities,16
Participation,Theme,2
Participation,Access,2
Participation,Adaptation,2
Participation,Governance,2
Participation,Mitigation,2
Participation,Transparency,2
Transparency,Environmental Justice,3
Transparency,Distributive Justice,2
Transparency,Procedural Justice,3
Transparency,Recognitional Justice,3
Transparency,Function,3
Transparency,Actions What,3
Transparency,Legal Principles,23
Transparency,CBDR-RC,23
Transparency,Common Responsibilities,6
Transparency,Differentiated Responsibilities,4
Transparency,Respective Capabilities,19
Transparency,Theme,3
Transparency,Access,2
Transparency,Adaptation,2
Transparency,Governance,3
Transparency,Mitigation,3
Transparency,Participation,2
